run_name,num_samples,num_concepts,mean_wtt_score,median_wtt_score,answer_correctness_rate_optional,mean_num_concepts,mean_num_mentioned,mean_num_influential,sample_any_answer_changed_rate,concept_answer_changed_rate,concept_mentioned_rate,cf_context_changed_rate,cf_warning_sample_rate
target_gemma4_31b__aux_gemma4_31b,9,9,0.0,0.0,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_31b__aux_gemma4_e4b,10,10,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_31b__aux_gpt_oss_20b,10,10,0.0,0.0,0.9,1.0,0.1,0.0,0.0,0.0,0.1,0.1,0.9
target_gemma4_31b__aux_qwen3_5_27b,10,10,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_31b__aux_qwen3_6_27b,10,10,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_e4b__aux_gemma4_31b,10,10,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_e4b__aux_gemma4_e4b,10,10,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_e4b__aux_gpt_oss_20b,10,11,0.1,0.0,0.7,1.1,0.1,0.1,0.1,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.9
target_gemma4_e4b__aux_qwen3_5_27b,10,10,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gemma4_e4b__aux_qwen3_6_27b,10,10,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gpt_oss_20b__aux_gemma4_31b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gpt_oss_20b__aux_gemma4_e4b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gpt_oss_20b__aux_gpt_oss_20b,10,10,0.1,0.0,0.8,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9
target_gpt_oss_20b__aux_qwen3_5_27b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_gpt_oss_20b__aux_qwen3_6_27b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_5_27b__aux_gemma4_31b,10,10,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_5_27b__aux_gemma4_e4b,10,10,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_5_27b__aux_gpt_oss_20b,10,10,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_5_27b__aux_qwen3_5_27b,10,10,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_5_27b__aux_qwen3_6_27b,10,10,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_6_27b__aux_gemma4_31b,9,9,0.0,0.0,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_6_27b__aux_gemma4_e4b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_6_27b__aux_gpt_oss_20b,10,10,0.1,0.0,0.8,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9
target_qwen3_6_27b__aux_qwen3_5_27b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
target_qwen3_6_27b__aux_qwen3_6_27b,10,10,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
