run_name,sample_idx,sample_id,question,gold_label,original_answer_correct,concept_i,concept,category,description,current_value,alternative_value,mentioned_in_explanation,original_answer_label,original_answer,original_explanation,counterfactual_answer_label,counterfactual_answer,counterfactual_explanation,answer_changed,counterfactual_context_changed,change_summary,changed_span_original,changed_span_counterfactual,cf_generation_warnings
target_qwen3_6_27b__aux_qwen3_5_27b,8,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, mutations causing low HDL-C do not promote increased carotid intima-media thickness.","The abstract reports that carotid intima-media thickness was nearly identical between cases with genetic mutations causing low HDL cholesterol and matched controls, indicating that these mutations do not lead to increased cIMT despite significantly lower HDL levels.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,17,17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, distinct patterns of knowledge and attitudes exist among unvaccinated seniors.","The study successfully identified four specific clusters of unvaccinated seniors based on their immunization-related knowledge and attitudes: Potentials, Fearful Uninformeds, Doubters, and Misinformeds.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,29,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, visceral adipose tissue area measurement at a single CT slice level can represent visceral adipose tissue volume.","The abstract reports that VAT area measured at a specific single slice (3 cm above the lower margin of L3) demonstrated a strong correlation (r=0.853) with changes in VAT volume, indicating it can effectively represent volume changes.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,32,9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, a mandatory general surgery rotation is not necessary.","The study found no differences in assessment scores between students with and without a general surgery rotation, indicating that equal mastery of surgical clerkship objectives can be achieved without it.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,46,19504993,It's Fournier's gangrene still dangerous?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, Fournier's gangrene remains dangerous due to its high morbidity and mortality rates.","The abstract explicitly states that despite antibiotics and aggressive debridement, the mortality rate remains high, and a retrospective review of 14 patients showed that 5 died, confirming its significant danger.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,54,25277731,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, sternal fractures in childhood are rare.","The abstract explicitly states in the background section that sternal fractures in childhood are rare, and only four cases were identified over a two-year study period.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,59,27491658,Can predilatation in transcatheter aortic valve implantation be omitted?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, predilatation can be omitted in transcatheter aortic valve implantation.",The randomized study demonstrated no significant differences in early hemodynamic results or complication rates between the standard procedure and the protocol where balloon predilatation was omitted.,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,71,18049437,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, there is a relationship between streptococcal infection and multiple sclerosis.","The abstract reports that antideoxyribonuclease B (ADNase B) antibody levels, which indicate past streptococcal infection, were significantly higher in patients with relapsing-remitting multiple sclerosis compared to healthy controls.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,86,11570976,Is it Crohn's disease?,maybe,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, the patient described in the case presentation has rheumatoid arthritis, not Crohn's disease.","The abstract explicitly identifies the patient's underlying diagnosis as rheumatoid arthritis, while Crohn disease is only listed as a MeSH term likely reflecting the drug's broader clinical indications or differential diagnostic considerations.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_6_27b__aux_qwen3_5_27b,95,23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, the provided context indicates that the 2009 excise tax increase did not lead to higher retail prices due to government regulation.","According to the abstract, the Chinese State Tobacco Monopoly Administration used its policy authority to prevent retail cigarette prices from changing despite the tax increase, meaning the financial burden was absorbed by the tobacco industry rather than passed on to consumers.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
