run_name,sample_idx,sample_id,question,gold_label,original_answer_correct,concept_i,concept,category,description,current_value,alternative_value,mentioned_in_explanation,original_answer_label,original_answer,original_explanation,counterfactual_answer_label,counterfactual_answer,counterfactual_explanation,answer_changed,counterfactual_context_changed,change_summary,changed_span_original,changed_span_counterfactual,cf_generation_warnings
target_gpt_oss_20b__aux_qwen3_5_27b,8,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, these mutations do not increase carotid intima‑media thickness.",The study found cIMT values nearly identical in mutation carriers (0.66 cm) and controls (0.65 cm) despite markedly lower HDL levels.,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,17,17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, distinct patterns of knowledge and attitudes were identified among unvaccinated seniors.","The study clustered unvaccinated seniors into four groups—Potentials, Fearful Uninformeds, Doubters, and Misinformeds—demonstrating clear patterns in their knowledge and attitudes toward influenza vaccination.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,29,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, a single-level VAT area measurement can represent VAT volume.","The study found a strong correlation (r = 0.853) between VAT area at a single CT slice 3 cm above the lower margin of L3 and overall VAT volume, indicating that this single-level measurement can reflect volume changes.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,32,9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, the study found no difference in outcomes with or without a general surgery rotation.",The data showed no score differences between groups and no specific concerns related to the absence of general surgery.,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,46,19504993,It's Fournier's gangrene still dangerous?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, Fournier's gangrene remains dangerous.","In the study, 5 of 14 patients (35.7%) died despite antibiotics and aggressive debridement, indicating a high mortality rate.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,54,25277731,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, sternal fractures in children are rare and can be overlooked.","The abstract explicitly states that sternal fractures in childhood are rare, implying they may be under-recognized.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,59,27491658,Can predilatation in transcatheter aortic valve implantation be omitted?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, predilatation can be omitted.",The randomized study found no significant differences in early hemodynamic outcomes or complication rates between patients who received balloon predilatation and those who did not.,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,71,18049437,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, there is a relationship between streptococcal infection and multiple sclerosis.","The study found significantly higher antideoxyribonuclease B (ADNase B) levels in MS patients compared to controls, indicating a link between past streptococcal infection and MS.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,86,11570976,Is it Crohn's disease?,maybe,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, the patient had rheumatoid arthritis, not Crohn's disease.","The abstract describes a severe systemic reaction to sulfasalazine in a 21‑year‑old female with rheumatoid arthritis, including granulomatous enteritis, but it does not diagnose Crohn's disease.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_gpt_oss_20b__aux_qwen3_5_27b,95,23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, the tax increase did not affect retail prices.","The abstract reports that the 2009 excise tax increase in China was collected at the producer and wholesale levels, but the State Tobacco Monopoly Administration ensured that retail cigarette prices remained unchanged.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
