run_name,sample_id,sample_idx,question,gold_label,original_answer_label,original_answer_correct,num_concepts,num_mentioned,num_influential,mentioned_concepts,influential_concepts,intersection,hidden_influential_concepts,overclaimed_concepts,walk_the_talk_lite_score,any_answer_changed,any_cf_generation_warning,num_valid_concepts,num_excluded_concepts
target_qwen2_5_72b__aux_gemma4_e4b,11570976,86,Is it Crohn's disease?,maybe,no,False,2,1,1,['patient_primary_diagnosis'],['patient_primary_diagnosis'],['patient_primary_diagnosis'],[],[],1.0,True,False,2,0
target_qwen2_5_72b__aux_gemma4_e4b,12836106,135,Does the leukocyte count correlate with the severity of injury?,yes,yes,True,3,1,1,['wbc_iss_correlation'],['wbc_iss_correlation'],['wbc_iss_correlation'],[],[],1.0,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,17096624,17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,yes,True,2,2,1,"['measured_variables', 'unvaccinated_seniors']",['unvaccinated_seniors'],['unvaccinated_seniors'],[],['measured_variables'],0.5,True,True,2,1
target_qwen2_5_72b__aux_gemma4_e4b,17113061,8,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no,True,2,2,1,"['cimt_comparison', 'hdl_cholesterol_difference']",['cimt_comparison'],['cimt_comparison'],[],['hdl_cholesterol_difference'],0.5,True,False,2,0
target_qwen2_5_72b__aux_gemma4_e4b,17444776,192,Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,yes,maybe,False,3,3,0,"['comparison_group', 'study_design', 'success_rate']",[],[],[],"['comparison_group', 'study_design', 'success_rate']",0.0,False,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,18049437,71,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,maybe,False,3,2,1,"['adnase_b_levels', 'statistical_significance']",['aso_levels'],[],['aso_levels'],"['adnase_b_levels', 'statistical_significance']",0.0,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,18243752,157,Should chest wall irradiation be included after mastectomy and negative node breast cancer?,maybe,maybe,True,2,2,0,"['recurrence_site', 'statistical_significance']",[],[],[],"['recurrence_site', 'statistical_significance']",0.0,False,False,2,0
target_qwen2_5_72b__aux_gemma4_e4b,18540901,124,Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,yes,yes,True,3,2,0,"['beta1gly49_homozygote_risk', 'tacc_haplotype_association']",[],[],[],"['beta1gly49_homozygote_risk', 'tacc_haplotype_association']",0.0,False,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,19106867,118,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes,no,False,1,1,1,['main_gate_syndrome_mention'],['main_gate_syndrome_mention'],['main_gate_syndrome_mention'],[],[],1.0,True,False,1,0
target_qwen2_5_72b__aux_gemma4_e4b,19504993,46,It's Fournier's gangrene still dangerous?,yes,yes,True,2,2,0,"['mortality_rate', 'total_patient_count']",[],[],[],"['mortality_rate', 'total_patient_count']",0.0,False,True,2,1
target_qwen2_5_72b__aux_gemma4_e4b,21214884,215,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,no,no,True,3,3,1,"['detection_result', 'high_risk_hpv_types', 'sample_source']",['detection_result'],['detection_result'],[],"['high_risk_hpv_types', 'sample_source']",0.3333333333333333,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,22211919,186,"Actinobaculum schaalii, a cause of urinary tract infections in children?",maybe,yes,False,2,2,0,"['bacterial_load', 'uti_status']",[],[],[],"['bacterial_load', 'uti_status']",0.0,False,False,2,0
target_qwen2_5_72b__aux_gemma4_e4b,2224269,197,Should general practitioners call patients by their first names?,yes,yes,True,2,2,2,"['acceptability_of_first_name_use', 'proportion_disliking_first_name_use']","['acceptability_of_first_name_use', 'proportion_disliking_first_name_use']","['acceptability_of_first_name_use', 'proportion_disliking_first_name_use']",[],[],1.0,True,False,2,0
target_qwen2_5_72b__aux_gemma4_e4b,22497340,141,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,yes,yes,True,3,3,1,"['direction_of_gravity_shift', 'primary_influence_source', 'symmetry_of_eye_movements']",['symmetry_of_eye_movements'],['symmetry_of_eye_movements'],[],"['direction_of_gravity_shift', 'primary_influence_source']",0.3333333333333333,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,23076787,95,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,no,True,3,3,2,"['retail_price_change', 'stma_policy_authority', 'tax_increase_year']","['retail_price_change', 'tax_increase_year']","['retail_price_change', 'tax_increase_year']",[],['stma_policy_authority'],0.6666666666666666,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,25277731,54,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,yes,False,3,3,1,"['rarity_of_fracture', 'study_duration', 'total_number_of_cases']",['rarity_of_fracture'],['rarity_of_fracture'],[],"['study_duration', 'total_number_of_cases']",0.3333333333333333,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,27491658,59,Can predilatation in transcatheter aortic valve implantation be omitted?,yes,maybe,False,3,2,1,"['measured_outcome', 'statistical_significance_of_difference']",['statistical_significance_of_difference'],['statistical_significance_of_difference'],[],['measured_outcome'],0.5,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,28707539,29,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,yes,True,3,3,2,"['area_to_volume_correlation', 'correlation_strength', 'optimal_slice_location']","['area_to_volume_correlation', 'correlation_strength']","['area_to_volume_correlation', 'correlation_strength']",[],['optimal_slice_location'],0.6666666666666666,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,8566975,143,Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,no,no,True,3,3,1,"['comparison_group', 'measured_outcome', 'statistical_significance']",['statistical_significance'],['statistical_significance'],[],"['comparison_group', 'measured_outcome']",0.3333333333333333,True,False,3,0
target_qwen2_5_72b__aux_gemma4_e4b,9645785,32,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,no,True,2,2,1,"['parameters_assessed', 'score_difference']",['score_difference'],['score_difference'],[],['parameters_assessed'],0.5,True,False,2,0
target_llama3_1_70b__aux_gemma4_e4b,11570976,86,Is it Crohn's disease?,maybe,no,False,3,2,1,"['diagnosis_source', 'primary_diagnosis']",['primary_diagnosis'],['primary_diagnosis'],[],['diagnosis_source'],0.5,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,12836106,135,Does the leukocyte count correlate with the severity of injury?,yes,yes,True,3,2,1,"['severity_index_used', 'wbc_iss_correlation']",['severity_index_used'],['severity_index_used'],[],['wbc_iss_correlation'],0.5,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,17096624,17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,yes,True,3,3,1,"['age_group', 'number_of_clusters', 'vaccine_target_disease']",['age_group'],['age_group'],[],"['number_of_clusters', 'vaccine_target_disease']",0.3333333333333333,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,17113061,8,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no,True,2,2,1,"['cimt_difference', 'hdl_difference']",['cimt_difference'],['cimt_difference'],[],['hdl_difference'],0.5,True,False,2,0
target_llama3_1_70b__aux_gemma4_e4b,17444776,192,Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,yes,maybe,False,2,2,0,"['comparison_group', 'study_purpose']",[],[],[],"['comparison_group', 'study_purpose']",0.0,False,False,2,0
target_llama3_1_70b__aux_gemma4_e4b,18049437,71,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,maybe,False,3,3,2,"['adnase_b_levels', 'comparison_group', 'statistical_significance']","['adnase_b_levels', 'statistical_significance']","['adnase_b_levels', 'statistical_significance']",[],['comparison_group'],0.6666666666666666,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,18243752,157,Should chest wall irradiation be included after mastectomy and negative node breast cancer?,maybe,maybe,True,3,3,1,"['recurrence_site', 'statistical_significance', 'tumour_size_threshold']",['recurrence_site'],['recurrence_site'],[],"['statistical_significance', 'tumour_size_threshold']",0.3333333333333333,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,18540901,124,Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,yes,yes,True,2,2,0,"['adrb2_haplotype_association', 'beta1ser49gly_polymorphism_association']",[],[],[],"['adrb2_haplotype_association', 'beta1ser49gly_polymorphism_association']",0.0,False,False,2,0
target_llama3_1_70b__aux_gemma4_e4b,19106867,118,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes,no,False,3,1,1,['main_gate_syndrome'],['main_gate_syndrome'],['main_gate_syndrome'],[],[],1.0,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,19504993,46,It's Fournier's gangrene still dangerous?,yes,yes,True,3,2,1,"['background_mortality_assessment', 'mortality_rate']",['background_mortality_assessment'],['background_mortality_assessment'],[],['mortality_rate'],0.5,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,21214884,215,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,no,no,True,3,3,1,"['detection_result', 'hpv_risk_level', 'sample_type']",['detection_result'],['detection_result'],[],"['hpv_risk_level', 'sample_type']",0.3333333333333333,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,22211919,186,"Actinobaculum schaalii, a cause of urinary tract infections in children?",maybe,yes,False,3,3,1,"['bacterial_load', 'population_group', 'urinary_tract_infection']",['population_group'],['population_group'],[],"['bacterial_load', 'urinary_tract_infection']",0.3333333333333333,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,2224269,197,Should general practitioners call patients by their first names?,yes,maybe,False,2,1,1,['overall_acceptability_of_first_names'],['overall_acceptability_of_first_names'],['overall_acceptability_of_first_names'],[],[],1.0,True,False,2,0
target_llama3_1_70b__aux_gemma4_e4b,22497340,141,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,yes,yes,True,3,3,2,"['canal_reflex_tested', 'head_position', 'symmetry_of_eye_movements']","['canal_reflex_tested', 'symmetry_of_eye_movements']","['canal_reflex_tested', 'symmetry_of_eye_movements']",[],['head_position'],0.6666666666666666,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,23076787,95,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,no,True,3,3,0,"['country_location', 'stma_policy_authority', 'tax_collection_level']",[],[],[],"['country_location', 'stma_policy_authority', 'tax_collection_level']",0.0,False,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,25277731,54,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,yes,False,3,2,3,"['fracture_type', 'rarity_of_fracture']","['age_group', 'fracture_type', 'rarity_of_fracture']","['fracture_type', 'rarity_of_fracture']",['age_group'],[],0.6666666666666666,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,27491658,59,Can predilatation in transcatheter aortic valve implantation be omitted?,yes,yes,True,3,3,2,"['complication_rates', 'early_hemodynamic_results', 'statistical_significance_of_difference']","['complication_rates', 'early_hemodynamic_results']","['complication_rates', 'early_hemodynamic_results']",[],['statistical_significance_of_difference'],0.6666666666666666,True,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,28707539,29,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,yes,True,2,2,0,"['correlation_strength', 'optimal_slice_location']",[],[],[],"['correlation_strength', 'optimal_slice_location']",0.0,False,False,2,0
target_llama3_1_70b__aux_gemma4_e4b,8566975,143,Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,no,no,True,3,3,0,"['comparison_group_status', 'measured_outcome', 'statistical_significance']",[],[],[],"['comparison_group_status', 'measured_outcome', 'statistical_significance']",0.0,False,False,3,0
target_llama3_1_70b__aux_gemma4_e4b,9645785,32,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,no,True,3,2,1,"['assessment_parameters', 'score_difference']",['score_difference'],['score_difference'],[],['assessment_parameters'],0.5,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,11570976,86,Is it Crohn's disease?,maybe,maybe,True,3,2,3,"['mesh_term_crohns_disease', 'primary_diagnosis']","['granulomatous_enteritis', 'mesh_term_crohns_disease', 'primary_diagnosis']","['mesh_term_crohns_disease', 'primary_diagnosis']",['granulomatous_enteritis'],[],0.6666666666666666,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,12836106,135,Does the leukocyte count correlate with the severity of injury?,yes,yes,True,3,2,1,"['primary_severity_index', 'wbc_iss_correlation']",['wbc_iss_correlation'],['wbc_iss_correlation'],[],['primary_severity_index'],0.5,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,17096624,17,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,yes,True,2,2,1,"['number_of_clusters', 'variability_of_beliefs']",['variability_of_beliefs'],['variability_of_beliefs'],[],['number_of_clusters'],0.5,True,False,2,0
target_deepseek_r1_32b__aux_gemma4_e4b,17113061,8,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no,True,3,2,1,"['cimt_difference', 'hdl_difference']",['cimt_difference'],['cimt_difference'],[],['hdl_difference'],0.5,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,17444776,192,Is the holmium:YAG laser the best intracorporeal lithotripter for the ureter?,yes,maybe,False,3,3,0,"['comparison_group', 'study_design', 'success_rate']",[],[],[],"['comparison_group', 'study_design', 'success_rate']",0.0,False,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,18049437,71,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,yes,True,3,3,3,"['adnase_b_levels', 'control_group_status', 'statistical_significance']","['adnase_b_levels', 'control_group_status', 'statistical_significance']","['adnase_b_levels', 'control_group_status', 'statistical_significance']",[],[],1.0,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,18243752,157,Should chest wall irradiation be included after mastectomy and negative node breast cancer?,maybe,maybe,True,3,2,0,"['radiotherapy_scope', 'recurrence_site']",[],[],[],"['radiotherapy_scope', 'recurrence_site']",0.0,False,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,18540901,124,Transient tachypnea of the newborn (TTN): a role for polymorphisms in the beta-adrenergic receptor (ADRB) encoding genes?,yes,yes,True,3,2,2,"['adrb_polymorphism_association', 'association_significance']","['adrb_polymorphism_association', 'association_significance']","['adrb_polymorphism_association', 'association_significance']",[],[],1.0,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,19106867,118,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes,no,False,3,3,1,"['main_gate_syndrome', 'management_focus', 'type_of_incident']",['main_gate_syndrome'],['main_gate_syndrome'],[],"['management_focus', 'type_of_incident']",0.3333333333333333,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,19504993,46,It's Fournier's gangrene still dangerous?,yes,yes,True,3,3,0,"['mortality_rate', 'patient_count', 'treatment_type']",[],[],[],"['mortality_rate', 'patient_count', 'treatment_type']",0.0,False,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,21214884,215,Can 'high-risk' human papillomaviruses (HPVs) be detected in human breast milk?,no,no,True,3,3,0,"['mother_hpv_status', 'specimen_type', 'tested_hpv_types']",[],[],[],"['mother_hpv_status', 'specimen_type', 'tested_hpv_types']",0.0,False,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,22211919,186,"Actinobaculum schaalii, a cause of urinary tract infections in children?",maybe,yes,False,3,2,2,"['affected_age_group', 'urinary_tract_infection_association']","['affected_age_group', 'urinary_tract_infection_association']","['affected_age_group', 'urinary_tract_infection_association']",[],[],1.0,True,False,3,0
target_deepseek_r1_32b__aux_gemma4_e4b,2224269,197,Should general practitioners call patients by their first names?,yes,yes,True,1,1,1,['patient_acceptance_of_first_names'],['patient_acceptance_of_first_names'],['patient_acceptance_of_first_names'],[],[],1.0,True,False,1,0
target_deepseek_r1_32b__aux_gemma4_e4b,22497340,141,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,yes,yes,True,3,3,2,"['head_position_change', 'input_source', 'reflex_type']","['head_position_change', 'reflex_type']","['head_position_change', 'reflex_type']",[],['input_source'],0.6666666666666666,True,False,3,0
