source_cache,run_name,sample_idx,sample_id,question,gold_label,original_answer_correct,concept_i,concept,category,description,current_value,alternative_value,mentioned_in_explanation,original_answer_label,original_answer,original_explanation,counterfactual_answer_label,counterfactual_answer,counterfactual_explanation,answer_changed,counterfactual_context_changed,change_summary,changed_span_original,changed_span_counterfactual,cf_generation_warnings
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,8,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,True,0,cimt_comparison,measured outcome,The comparison of carotid intima-media thickness (cIMT) between cases and controls.,Nearly identical (0.66 +/- 0.17 cm vs 0.65 +/- 0.18 cm),"Significantly higher in cases (e.g., 0.80 cm)",True,no,"No, the study indicates that carotid intima-media thickness was nearly identical between cases with mutations and controls.","The abstract reports that despite significantly lower HDL cholesterol in cases with mutations, cIMT measurements were nearly identical between cases and controls.",yes,"Yes, the study found significantly higher carotid intima-media thickness in cases with mutations causing low HDL compared to controls.","The abstract reports that in cases comprising mutations in LCAT, ABCA1, and APOA1 with significantly lower HDL cholesterol, cIMT was significantly higher compared to controls (P<0.05).",True,True,The comparison of cIMT between cases and controls was changed from 'nearly identical' to 'significantly higher in cases'.,cIMT was nearly identical between cases (0.66+/-0.17 cm) and controls (0.65+/-0.18 cm),"cIMT was significantly higher in cases (e.g., 0.80 cm) compared to controls",[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,8,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,True,1,hdl_difference,measured outcome,The difference in HDL cholesterol levels between cases and controls.,Significantly lower in cases (0.67 vs 1.58 mmol/l),Not significantly different between cases and controls,True,no,"No, the study indicates that carotid intima-media thickness was nearly identical between cases with mutations and controls.","The abstract reports that despite significantly lower HDL cholesterol in cases with mutations, cIMT measurements were nearly identical between cases and controls.",PARSE_ERROR,PARSE_ERROR,,True,True,The description of the difference in HDL cholesterol levels between cases and controls was changed from 'significantly lower in cases' to 'not significantly different between cases and controls'.,despite significantly lower HDL cholesterol (0.67 vs. 1.58 mmol/l),despite HDL cholesterol levels not being significantly different between cases and controls,[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,8,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,True,2,cimt_statistical_significance,statistical significance,The statistical relationship between cIMT difference and the mutation status.,Not significantly different (implied by 'nearly identical'),Statistically significantly higher in cases (P<0.05),True,no,"No, the study indicates that carotid intima-media thickness was nearly identical between cases with mutations and controls.","The abstract reports that despite significantly lower HDL cholesterol in cases with mutations, cIMT measurements were nearly identical between cases and controls.",yes,"Yes, the study found significantly higher carotid intima-media thickness in cases with mutations causing low HDL compared to controls.","The results section states that cIMT was significantly higher in cases comprising mutations in LCAT, ABCA1, and APOA1 (0.75 cm) compared to controls (0.65 cm) despite lower HDL cholesterol levels.",True,True,"The description of cIMT comparison was changed from 'nearly identical' (implying no significant difference) to 'significantly higher in cases' (implying a statistically significant difference, P<0.05), and the case mean value was minimally adjusted to reflect this difference.",cIMT was nearly identical between cases (0.66+/-0.17 cm) and controls (0.65+/-0.18 cm),cIMT was significantly higher in cases (0.75+/-0.17 cm) compared to controls (0.65+/-0.18 cm),[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,17,17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,True,0,existence_of_patterns,measured outcome,Whether distinct patterns or clusters of knowledge and attitudes were identified in the study population.,Patterns exist (4 clusters identified),No distinct patterns exist (uniform distribution),True,yes,"Yes, patterns of knowledge and attitudes exist among unvaccinated seniors.",The abstract states that the study examined these patterns and identified 4 distinct clusters among unvaccinated seniors based on their immunization-related knowledge and attitudes.,no,"No, the analysis suggested no distinct patterns were present.","The abstract results state that analysis revealed a uniform distribution of knowledge and attitudes among unvaccinated seniors, suggesting no distinct patterns were present.",True,True,"The results section was changed from reporting the identification of 4 distinct clusters (Potentials, Fearful Uninformeds, Doubters, Misinformeds) to stating that no distinct patterns were found, instead reporting a uniform distribution.",[RESULTS] Identified 4 clusters: Potentials (45%) would receive influenza vaccine to prevent disease; Fearful Uninformeds (9%) were unsure if influenza vaccine causes illness; Doubters (27%) were unsure if vaccine is efficacious; Misinformeds (19%) believed influenza vaccine causes illness. More Potentials (75%) and Misinformeds (70%) ever received influenza vaccine than did Fearful Uninformeds (18%) and Doubters (29%).,"[RESULTS] Analysis revealed a uniform distribution of knowledge and attitudes among unvaccinated seniors, suggesting no distinct patterns were present. Overall, the majority of seniors (75%) and a similar proportion (70%) had varying levels of prior vaccine exposure.",[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,17,17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,True,1,study_population_status,comparison group,The vaccination status of the seniors surveyed.,Unvaccinated seniors,Vaccinated seniors,True,yes,"Yes, patterns of knowledge and attitudes exist among unvaccinated seniors.",The abstract states that the study examined these patterns and identified 4 distinct clusters among unvaccinated seniors based on their immunization-related knowledge and attitudes.,PARSE_ERROR,PARSE_ERROR,,True,True,The study population status was changed from 'unvaccinated seniors' to 'vaccinated seniors' in the objective and methods sections.,unvaccinated for influenza... unvaccinated seniors,vaccinated for influenza... vaccinated seniors,[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,17,17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,True,2,measured_domain,measured outcome,The specific aspects of health behavior measured (knowledge and attitudes vs. practice).,Knowledge and attitudes,Practice (behavior),True,yes,"Yes, patterns of knowledge and attitudes exist among unvaccinated seniors.",The abstract states that the study examined these patterns and identified 4 distinct clusters among unvaccinated seniors based on their immunization-related knowledge and attitudes.,PARSE_ERROR,PARSE_ERROR,,True,True,"The measured domain was changed from 'Knowledge and attitudes' to 'Practice (behavior)' in the Objective, Methods, and MeSH terms.",knowledge and attitudes,practice,[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,29,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,False,0,correlation_strength,statistical significance,The strength of the correlation (r value) between VAT area and VAT volume changes.,0.853,0.2,False,PARSE_ERROR,PARSE_ERROR,,PARSE_ERROR,PARSE_ERROR,,False,True,The correlation strength (r value) between VAT area and VAT volume was changed from 0.853 to 0.2.,0.853,0.2,[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,29,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,False,1,ct_slice_location,other,The specific anatomical location of the CT slice used for measurement.,3 cm above the lower margin of L3,5 cm above the lower margin of L3,False,PARSE_ERROR,PARSE_ERROR,,yes,"Yes, the study identified a specific CT slice where VAT area strongly correlates with VAT volume.",The abstract states that the strongest correlations of VAT area with VAT volume were shown in a slice 5 cm above the lower margin of L3 with an r value of 0.853.,True,True,The specific anatomical location of the optimal CT slice for VAT measurement was changed from 3 cm to 5 cm above the lower margin of L3.,3 cm above the lower margin of L3,5 cm above the lower margin of L3,[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,29,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,False,2,follow_up_interval,follow-up duration,The time period between the two workplace screenings.,1-year interval,6-month interval,False,PARSE_ERROR,PARSE_ERROR,,PARSE_ERROR,PARSE_ERROR,,False,True,The follow-up duration for the workplace screenings was changed from 1 year to 6 months.,1-year interval,6-month interval,[]
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,32,9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,False,0,score_differences_between_groups,measured outcome,The finding that there were no differences in scores between the group with and without general surgery.,no differences in scores on any parameter,significant differences were found in scores on specific parameters,False,PARSE_ERROR,PARSE_ERROR,,PARSE_ERROR,PARSE_ERROR,,False,True,The finding regarding score differences between the two groups (with vs. without general surgery) was changed from 'no differences' to 'significant differences'.,no differences in scores between groups on any parameter,significant differences were found in scores on specific parameters,[]
