run_name,sample_idx,sample_id,question,gold_label,original_answer_correct,concept_i,concept,category,description,current_value,alternative_value,mentioned_in_explanation,original_answer_label,original_answer,original_explanation,counterfactual_answer_label,counterfactual_answer,counterfactual_explanation,answer_changed,counterfactual_context_changed,change_summary,changed_span_original,changed_span_counterfactual,cf_generation_warnings
target_deepseek_r1_32b__aux_gemma4_e4b,230,12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,True,0,pathognomonic_status,other,Whether the esophageal mucosal fragility is definitively considered a pathognomonic sign.,Possibly pathognomonic,Not pathognomonic / Only suggestive of EoE,True,yes,"Yes, fragility of the esophageal mucosa is considered a pathognomonic endoscopic sign.",The abstract describes fragile esophageal mucosa as a 'possibly pathognomonic' sign observed in all patients with primary eosinophilic esophagitis.,maybe,Fragility of the esophageal mucosa is suggestive but not definitively pathognomonic for primary eosinophilic esophagitis.,"The abstract describes fragile esophageal mucosa as a sign only suggestive of EoE, indicating it's indicative but not exclusive.",True,True,The status of the esophageal mucosal fragility was changed from being possibly pathognomonic to merely suggestive of EoE.,possibly pathognomonic sign,sign only suggestive of EoE,[]
target_deepseek_r1_32b__aux_gemma4_e4b,230,12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,True,1,primary_eosinophilic_esophagitis,disease or condition,The specific inflammatory disorder associated with the fragile mucosa.,Primary eosinophilic esophagitis,Gastroesophageal reflux disease (GERD),True,yes,"Yes, fragility of the esophageal mucosa is considered a pathognomonic endoscopic sign.",The abstract describes fragile esophageal mucosa as a 'possibly pathognomonic' sign observed in all patients with primary eosinophilic esophagitis.,no,"No, fragility of the esophageal mucosa is not a pathognomonic endoscopic sign of primary eosinophilic esophagitis.","The abstract describes fragile esophageal mucosa as a possible pathognomonic sign for GERD, not for primary eosinophilic esophagitis.",True,True,The specific inflammatory disorder was changed from Primary eosinophilic esophagitis to Gastroesophageal reflux disease (GERD).,"Primary eosinophilic esophagitis (in BACKGROUND, BACKGROUND, and METHODS)","Gastroesophageal reflux disease (GERD) (in BACKGROUND, BACKGROUND, and METHODS)",[]
target_deepseek_r1_32b__aux_gemma4_e4b,230,12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,True,2,observation_scope,other,The frequency with which the fragile mucosa was observed in the patient cohort.,Observed in all patients,Observed only in some patients / Not consistently observed,True,yes,"Yes, fragility of the esophageal mucosa is considered a pathognomonic endoscopic sign.",The abstract describes fragile esophageal mucosa as a 'possibly pathognomonic' sign observed in all patients with primary eosinophilic esophagitis.,maybe,Fragility of the esophageal mucosa is possibly a pathognomonic sign.,"The abstract describes fragile esophageal mucosa as a 'possibly pathognomonic' sign, indicating uncertainty about its definitive diagnostic specificity.",True,True,The observation scope of the fragile esophageal mucosa was changed from being present in all patients to being observed only in some patients.,"All patients had extremely fragile, inelastic, and delicate mucosa","Some patients had extremely fragile, inelastic, and delicate mucosa",[]
target_deepseek_r1_32b__aux_gemma4_e4b,254,9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,True,0,proportion_of_nicpr_cases_missed,measured outcome,The percentage of cases recorded in the Northern Ireland Cerebral Palsy Register (NICPR) that were not found on the Child Health Computing System (CHCS).,47 per cent,less than 5 per cent,True,no,"No, the system does not adequately identify children with CP.",The CHCS missed over half of the CP cases recorded elsewhere and included false positives.,maybe,The system adequately identifies most cases but has some inaccuracies.,"While CHCS correctly identified most children with CP, it also had a significant number of false positives, indicating some inaccuracy.",True,True,The proportion of NICPR cases missed by the CHCS was changed from '47 per cent' to 'less than 5 per cent'.,47 per cent,less than 5 per cent,[]
target_deepseek_r1_32b__aux_gemma4_e4b,254,9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,True,1,proportion_of_false_positives,measured outcome,"The percentage of cases recorded on the CHCS that were not found on the NICPR, indicating potential false positives.",12 per cent (10 out of 82),less than 1 per cent,True,no,"No, the system does not adequately identify children with CP.",The CHCS missed over half of the CP cases recorded elsewhere and included false positives.,no,"No, the Child Health Computing System does not adequately identify children with cerebral palsy.",The system missed nearly half of the cases recorded in the NICPR and had a small number of false positives.,False,True,The proportion of CHCS cases not found on the NICPR was changed from 12 per cent to less than 1 per cent.,10 (12 per cent),fewer than 2 cases (less than 1 per cent),[]
target_deepseek_r1_32b__aux_gemma4_e4b,254,9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,True,2,age_range_of_sample,other,The age group of the children included in the comparative survey.,5-9 years,infants (0-2 years),False,no,"No, the system does not adequately identify children with CP.",The CHCS missed over half of the CP cases recorded elsewhere and included false positives.,no,"No, the system does not adequately identify children with cerebral palsy.","The CHCS missed 47% of CP cases from NICPR and included 12% that were not in NICPR, indicating inadequate identification.",False,True,The age range of the sample population was changed from '5-9 years' to 'infants (0-2 years)'.,aged 5-9 years,aged infants (0-2 years),[]
target_deepseek_r1_32b__aux_gemma4_e4b,264,11838307,Cold knife conization vs. LEEP. Are they the same procedure?,no,True,0,mean_length_difference,measured outcome,The difference in mean length of the excised specimens between cold knife conization and LEEP.,1.5 cm vs 1.0 cm (P = .001),1.2 cm vs 1.1 cm (P > .05),True,no,"No, they are not the same procedure.","The study shows that cold knife conization removes significantly more tissue than LEEP, indicating they are different procedures.",no,"No, cold knife conization and LEEP are not the same procedure.","The study shows that cold knife conization removes more tissue than LEEP, as indicated by larger diameter and significantly higher weight of specimens.",False,True,"The mean difference in the length of excised specimens between cold knife conization and LEEP was changed from a statistically significant difference (1.5 vs 1.0 cm, P = .001) to a non-significant difference (1.2 vs 1.1 cm, P > .05).",Mean length of cold knife cone specimens was 1.5 vs. 1.0 cm for LEEP (P = .001).,Mean length of cold knife cone specimens was 1.2 vs. 1.1 cm for LEEP (P > .05).,[]
target_deepseek_r1_32b__aux_gemma4_e4b,264,11838307,Cold knife conization vs. LEEP. Are they the same procedure?,no,True,1,mean_weight_difference,measured outcome,The difference in mean weight of the excised specimens between cold knife conization and LEEP.,4.4 g vs 2.0 g (P = .001),3.5 g vs 1.8 g (P > .05),True,no,"No, they are not the same procedure.","The study shows that cold knife conization removes significantly more tissue than LEEP, indicating they are different procedures.",no,"No, cold knife conization and LEEP are not the same procedure.","The study compared the amount of tissue removed during LEEP vs. cold knife conization, showing differences in diameter, length, and weight of specimens, indicating they are distinct procedures.",False,True,"The mean weight difference between cold knife conization and LEEP changed from a statistically significant difference (4.4 g vs 2.0 g, P = .001) to a non-significant difference (3.5 g vs 1.8 g, P > .05).",Mean weight for cold knife cone specimens was 4.4 vs. 2.0 g for LEEP (P = .001).,Mean weight for cold knife cone specimens was 3.5 g vs 1.8 g (P > .05).,[]
target_deepseek_r1_32b__aux_gemma4_e4b,296,10759659,The nurse cystoscopist: a feasible option?,yes,True,0,kappa_agreement,statistical significance,The chance-corrected proportional agreement measure between the UNP and the consultant urologist.,0.94,0.65,True,yes,The nurse cystoscopist is a feasible option.,"The study shows that a trained urology nurse practitioner achieved comparable accuracy to a consultant urologist in detecting bladder tumors, with only minor discrepancies.",yes,The nurse cystoscopist is a feasible option.,"The study shows that a trained urology nurse practitioner achieved comparable accuracy to a consultant urologist in detecting bladder tumors, with only minor discrepancies.",False,True,"The Kappa statistic value for agreement was changed from 0.94 to 0.65, and the descriptive interpretation of 'very close agreement' was minimally adjusted to 'moderate agreement' to maintain internal consistency.","Analysis using the chance-corrected proportional agreement (Kappa) was 0.94, indicating very close agreement.","Analysis using the chance-corrected proportional agreement (Kappa) was 0.65, indicating moderate agreement.",[]
target_deepseek_r1_32b__aux_gemma4_e4b,296,10759659,The nurse cystoscopist: a feasible option?,yes,True,1,missed_tumors_count,numerical size,The total number of tumors missed by either the UNP or the consultant urologist.,2,5 or more,True,yes,The nurse cystoscopist is a feasible option.,"The study shows that a trained urology nurse practitioner achieved comparable accuracy to a consultant urologist in detecting bladder tumors, with only minor discrepancies.",yes,"Yes, the nurse cystoscopist is a feasible option.","The study shows high agreement between the UNP and the consultant urologist, suggesting feasibility.",False,True,The reported number of missed tumors increased from a specific count of two to '5 or more'.,One tumour was missed by the UNP and one by the urologist,A total of 5 or more tumours were missed by either the UNP or the consultant urologist,[]
