run_name,sample_idx,sample_id,question,gold_label,original_answer_correct,concept_i,concept,category,description,current_value,alternative_value,mentioned_in_explanation,original_answer_label,original_answer,original_explanation,counterfactual_answer_label,counterfactual_answer,counterfactual_explanation,answer_changed,counterfactual_context_changed,change_summary,changed_span_original,changed_span_counterfactual,cf_generation_warnings
target_gpt_oss_20b__aux_gemma4_e4b,230,12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,False,0,number_of_patients,numerical size,The sample size used in the observation of the fragile mucosa.,Five men,Dozens of patients,False,maybe,"The abstract suggests fragile esophageal mucosa may be a characteristic, but does not confirm it as definitively pathognomonic.","The authors describe the fragile, crêpe‑paper mucosa observed in all five patients and note it could be a pathognomonic sign, yet they do not assert it is definitive for eosinophilic esophagitis.",maybe,"The abstract suggests fragile esophageal mucosa may be a characteristic, but does not confirm it as definitively pathognomonic.","The authors describe the fragile, crêpe‑paper mucosa observed in all patients and note it could be a pathognomonic sign, yet they do not assert it is definitive for diagnosis.",False,True,The sample size used in the observation was changed from 'Five men' to 'Dozens of patients'.,Five men,Dozens of patients,[]
target_gpt_oss_20b__aux_gemma4_e4b,230,12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,False,1,mucosal_fragility_description,other,The physical description of the esophageal mucosa observed during endoscopy.,"Extremely fragile, inelastic, and delicate (tears easily)",Robust and resilient to minor trauma,True,maybe,"The abstract suggests fragile esophageal mucosa may be a characteristic, but does not confirm it as definitively pathognomonic.","The authors describe the fragile, crêpe‑paper mucosa observed in all five patients and note it could be a pathognomonic sign, yet they do not assert it is definitive for eosinophilic esophagitis.",maybe,"The abstract suggests fragile, crêpe‑paper mucosa may be a characteristic sign of eosinophilic esophagitis, but it is not definitively proven as pathognomonic.","The authors describe the fragile mucosa as a possibly pathognomonic endoscopic feature, yet their observations note robust mucosa and lack definitive confirmation.",False,True,"The physical description of the esophageal mucosa in the [OBSERVATIONS] section was changed from 'extremely fragile, inelastic, and delicate (tears easily)' to 'robust and resilient to minor trauma'.","All patients had extremely fragile, inelastic, and delicate mucosa, which tore easily even with minor trauma.",All patients had robust and resilient mucosa that resisted minor trauma.,[]
target_gpt_oss_20b__aux_gemma4_e4b,230,12612531,Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,False,2,pathognomonic_status_confirmation,other,Whether the authors definitively confirm that the observed mucosal fragility is pathognomonic for EoE.,Not definitively asserted by authors (Implied uncertainty),Confirmed as definitive by authors,True,maybe,"The abstract suggests fragile esophageal mucosa may be a characteristic, but does not confirm it as definitively pathognomonic.","The authors describe the fragile, crêpe‑paper mucosa observed in all five patients and note it could be a pathognomonic sign, yet they do not assert it is definitive for eosinophilic esophagitis.",yes,"Yes, the abstract identifies fragile esophageal mucosa as a definitive pathognomonic endoscopic sign of primary eosinophilic esophagitis.","The authors report that all five patients exhibited extremely fragile, inelastic mucosa that tore easily, and they explicitly describe this feature as a definitively pathognomonic sign.",True,True,The abstract was changed to assert that the fragile esophageal mucosa is definitively (rather than possibly) a pathognomonic sign of EoE.,a possibly pathognomonic sign:,a definitively pathognomonic sign:,[]
target_gpt_oss_20b__aux_gemma4_e4b,254,9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,True,0,nicpr_to_chcs_missing_percentage,measured outcome,The percentage of children recorded in the Northern Ireland Cerebral Palsy Register (NICPR) that were not found on the Child Health Computing System (CHCS).,47%,< 5%,True,no,"No, the CHCS fails to capture a substantial proportion of children with cerebral palsy.","The study found that 47% of cases recorded in the Northern Ireland Cerebral Palsy Register were not present in the Child Health Computing System, indicating significant under‑identification.",yes,"Yes, the Child Health Computing System captures most children with cerebral palsy.","The study found that less than 5% of cases recorded in the Northern Ireland Cerebral Palsy Register were missing from the CHCS, indicating high sensitivity for identifying CP patients.",True,True,The percentage of children recorded in the NICPR that were not found on the CHCS was changed from 47% to < 5%.,47 per cent,less than 5 per cent,[]
target_gpt_oss_20b__aux_gemma4_e4b,254,9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,True,1,nicpr_total_cases,numerical size,The total number of cases recorded on the Northern Ireland Cerebral Palsy Register (NICPR) used in the comparison.,135,500,False,no,"No, the CHCS fails to capture a substantial proportion of children with cerebral palsy.","The study found that 47% of cases recorded in the Northern Ireland Cerebral Palsy Register were not present in the Child Health Computing System, indicating significant under‑identification.",no,"No, the CHCS does not adequately identify children with cerebral palsy.","The study found that 47% of children recorded in the Northern Ireland Cerebral Palsy Register were missing from the CHCS and that some CHCS entries were false positives, indicating substantial under‑identification.",False,True,The total number of cases recorded on the NICPR was increased from 135 to 500.,135,500,[]
target_gpt_oss_20b__aux_gemma4_e4b,254,9602458,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,True,2,study_age_range,other,The age group of children included in the comparative survey.,5-9 years,All ages,False,no,"No, the CHCS fails to capture a substantial proportion of children with cerebral palsy.","The study found that 47% of cases recorded in the Northern Ireland Cerebral Palsy Register were not present in the Child Health Computing System, indicating significant under‑identification.",no,"No, the CHCS does not adequately identify children with cerebral palsy.","Nearly half of the cases recorded in the reference register (NICPR) were absent from the CHCS, and some CHCS entries were later found to be false positives.",False,True,The study age range was changed from '5-9 years' to 'All ages'.,aged 5-9 years,across all ages,[]
target_gpt_oss_20b__aux_gemma4_e4b,264,11838307,Cold knife conization vs. LEEP. Are they the same procedure?,no,True,0,statistical_significance,statistical_significance,The statistical significance of the differences observed in specimen measurements between LEEP and cold knife conization.,"P = .07, P = .001 (indicating some significant differences)","All p-values are non-significant (e.g., P > .05 for all comparisons)",True,no,"No, they are different procedures.","The abstract reports significant differences in diameter, length, and weight of specimens between cold knife conization and LEEP, indicating distinct surgical techniques.",no,Cold knife conization and LEEP are not the same procedure.,"The abstract compares their specimen dimensions, indicating they are distinct techniques (cold knife vs electrosurgical).",False,True,"The statistical significance of the differences in specimen measurements (diameter, length, and weight) between LEEP and cold knife conization was changed from showing significant results (P = .07, P = .001) to showing non-significant results (P > .05 for all comparisons).",Mean diameter of cold knife cone specimens was 2.6 vs. 2.2 cm for LEEP (P = .07). Mean length of cold knife cone specimens was 1.5 vs. 1.0 cm for LEEP (P = .001). Mean weight for cold knife cone specimens was 4.4 vs. 2.0 g for LEEP (P = .001).,Mean diameter of cold knife cone specimens was 2.6 vs. 2.2 cm for LEEP (P = .15). Mean length of cold knife cone specimens was 1.5 vs. 1.0 cm for LEEP (P = .30). Mean weight for cold knife cone specimens was 4.4 vs. 2.0 g for LEEP (P = .08).,[]
target_gpt_oss_20b__aux_gemma4_e4b,264,11838307,Cold knife conization vs. LEEP. Are they the same procedure?,no,True,1,mean_specimen_measurements,measured_outcome,"The reported mean values (diameter, length, and weight) of the specimens removed by both procedures.",Diameter: 2.6 vs 2.2 cm; Length: 1.5 vs 1.0 cm; Weight: 4.4 vs 2.0 g,"Mean values are very similar across all metrics (e.g., 2.3 vs 2.2 cm; 1.1 vs 1.0 cm; 2.5 vs 2.0 g)",True,no,"No, they are different procedures.","The abstract reports significant differences in diameter, length, and weight of specimens between cold knife conization and LEEP, indicating distinct surgical techniques.",no,"No, cold knife conization and LEEP are not the same procedure.","The abstract reports significant differences in diameter, length, and weight of specimens between cold knife conization and LEEP, indicating distinct surgical techniques.",False,True,"The reported mean specimen measurements (diameter, length, and weight) were changed from the original values to alternative, similar values.",Mean diameter of cold knife cone specimens was 2.6 vs. 2.2 cm for LEEP (P = .07). Mean length of cold knife cone specimens was 1.5 vs. 1.0 cm for LEEP (P = .001). Mean weight for cold knife cone specimens was 4.4 vs. 2.0 g for LEEP (P = .001).,Mean diameter of cold knife cone specimens was 2.3 vs. 2.2 cm for LEEP (P = .07). Mean length of cold knife cone specimens was 1.1 vs. 1.0 cm for LEEP (P = .001). Mean weight for cold knife cone specimens was 2.5 vs. 2.0 g for LEEP (P = .001).,[]
target_gpt_oss_20b__aux_gemma4_e4b,296,10759659,The nurse cystoscopist: a feasible option?,yes,True,0,kappa_agreement,measured outcome,The chance-corrected proportional agreement measure between the UNP and the consultant urologist.,0.94,0.65,True,yes,"Yes, a trained urology nurse practitioner can perform flexible cystoscopy with accuracy comparable to a consultant.","The study found only one missed tumour by each observer and a Kappa of 0.94, indicating very close agreement between the nurse practitioner and the consultant.",yes,"Yes, a nurse cystoscopist is a feasible option.","The study showed moderate agreement (kappa = 0.65) between the trained urology nurse practitioner and consultant urologist, with only one tumour missed by each.",False,True,"The Kappa agreement score was changed from 0.94 to 0.65, and the interpretation of 'very close agreement' was minimally adjusted to 'moderate agreement' for consistency.","0.94, indicating very close agreement","0.65, indicating moderate agreement",[]
target_gpt_oss_20b__aux_gemma4_e4b,296,10759659,The nurse cystoscopist: a feasible option?,yes,True,1,missed_tumour_count,measured outcome,The number of tumours missed by each observer (UNP and urologist).,One tumour missed by UNP and one by the urologist,Five tumours missed by both observers,True,yes,"Yes, a trained urology nurse practitioner can perform flexible cystoscopy with accuracy comparable to a consultant.","The study found only one missed tumour by each observer and a Kappa of 0.94, indicating very close agreement between the nurse practitioner and the consultant.",yes,"Yes, a trained urology nurse practitioner can feasibly perform cystoscopy with accuracy comparable to a consultant.","The study showed a Kappa of 0.94 between the nurse practitioner and consultant, indicating very close agreement in detecting bladder tumours.",False,True,The total number of missed tumors (missed_tumour_count) was changed from two (one by each observer) to five.,One tumour was missed by the UNP and one by the urologist,Five tumours missed by both observers,[]
